raceId,driverId,stop,lap,duration
841,153,1,1,26.898
841,30,1,1,25.021
841,17,1,11,23.426
841,4,1,12,23.251
841,13,1,13,23.842
841,22,1,13,23.643
841,20,1,14,22.603
841,814,1,14,24.863
841,816,1,14,25.259
841,67,1,15,25.342
841,2,1,15,22.994
841,1,1,16,23.227
841,808,1,16,24.535
841,3,1,16,23.716
841,155,1,16,24.064
841,16,1,16,25.978
841,15,1,16,24.899
841,18,1,17,16.867
841,153,2,17,24.463
841,5,1,17,24.865
841,30,2,17,23.988
841,10,1,18,23.792
841,18,2,19,23.303
841,815,1,23,23.438
841,22,2,23,37.856
841,17,2,26,22.520
841,4,2,27,24.733
841,22,3,28,16.892
841,67,2,29,23.100
841,2,2,30,25.098
841,13,2,31,24.500
841,155,2,32,24.192
841,20,2,36,24.036
841,1,2,36,23.199
841,153,3,35,26.348
841,808,2,36,25.683
841,814,2,36,24.332
841,18,3,37,22.681
841,16,2,37,23.871
841,15,2,37,24.848
841,816,2,38,26.446
841,17,3,41,26.230
841,22,4,40,26.309
841,4,3,42,24.181
841,13,3,48,24.095
842,16,1,3,31.694
842,22,1,3,32.978
842,17,1,10,22.572
842,814,1,11,22.773
842,1,1,12,22.552
842,20,1,13,23.019
842,2,1,13,23.900
842,18,1,13,22.400
842,13,1,13,29.224
842,15,1,13,25.516
842,4,1,14,23.152
842,30,1,14,22.576
842,808,1,15,23.182
842,67,1,15,23.280
842,3,1,15,24.967
842,5,1,15,29.084
842,153,1,16,23.584
842,16,2,16,22.046
842,155,1,17,23.280
842,815,1,17,23.597
842,10,1,17,24.617
842,816,1,17,26.252
842,24,1,17,27.815
842,22,2,17,24.502
842,67,2,20,29.843
842,17,2,22,21.991
842,18,2,23,22.471
842,1,2,24,22.611
842,814,2,24,22.419
842,20,2,25,21.893
842,4,2,26,23.894
842,2,2,26,23.221
842,13,2,27,22.541
842,808,2,27,22.680
842,30,2,28,22.261
842,3,2,29,22.577
842,17,3,32,22.069
842,153,2,32,22.888
842,16,3,32,22.550
842,67,3,32,27.439
842,5,2,34,23.336
842,10,2,34,24.429
842,816,2,35,24.416
842,155,2,36,23.442
842,1,3,37,25.382
